Title,AlbumURI,AlbumOrder,Like
Jackson Browne,spotify:album:0n93YRc9GP3ZgREgTHvP5u,1,1
For Everyman,spotify:album:12X80pgkHSjMDgAAS0HBdr,2,1
Late for the Sky,spotify:album:0aiTqo8YZI0dKDgcCnkkzP,3,1
The Pretender,spotify:album:1AqUcQKtf2AQ6rFRKIBei8,4,1
Running on Empty,spotify:album:24UtAJJRIuHICjdIDqaNhg,5,1
Hold Out,spotify:album:1sPzplNErJ43rUcV9FQb35,6,0
Lawyers in Love,spotify:album:3nTuwTk2Gss075xnGnXtU3,7,0
Lives in the Balance,spotify:album:5Dzx6h4qogc7CFRYl3g3k3,8,0
World In Motion,spotify:album:2FThRW6P2d1DQBn1btklsb,9,0
I'm Alive,spotify:album:48qbdp47cWW5XHbTEkbRM5,10,0
Looking East,spotify:album:1QRFAMLYv7hMMjudkwhUNF,11,0
The Naked Ride Home,spotify:album:2IVmN04ppNcEsAZdENJUiM,12,0
Time the Conqueror,spotify:album:3VL66dS2IN81VtojWbTjJ0,13,1
Standing In The Breach,spotify:album:030uLS1xIKmntvGwjggTcv,14,1
