,Title,AlbumURI,AlbumOrder,Like,AlbumID,AlbumName,TrackNumber,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
0,Jackson Browne,spotify:album:0n93YRc9GP3ZgREgTHvP5u,1,1,0n93YRc9GP3ZgREgTHvP5u,Jackson Browne (Saturate Before Using),1,Jamaica Say You Will,0RwqThYUfPkAi71H2j63As,https://p.scdn.co/mp3-preview/0f3af5cc81ffa0d41685dd697b6a193cedd7057a?cid=a91ed9edffbc4349b0ae66ad2680900a,1972,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.572,0.326,-12.429,0.0305,0.847,0.00013,0.22,0.409,72.785,4,1,203973,63.0
1,Jackson Browne,spotify:album:0n93YRc9GP3ZgREgTHvP5u,1,1,0n93YRc9GP3ZgREgTHvP5u,Jackson Browne (Saturate Before Using),2,A Child in These Hills,1tJDYFwncQSp9jw6wQu5Dt,https://p.scdn.co/mp3-preview/359e36b843286de4d481fec2317d8cd329c27571?cid=a91ed9edffbc4349b0ae66ad2680900a,1972,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.544,0.496,-8.666,0.031,0.526,0.0139,0.273,0.472,129.96,3,1,239560,63.0
2,Jackson Browne,spotify:album:0n93YRc9GP3ZgREgTHvP5u,1,1,0n93YRc9GP3ZgREgTHvP5u,Jackson Browne (Saturate Before Using),3,Song for Adam,2vVqfmuavRb66If6piUdbV,https://p.scdn.co/mp3-preview/c1096c9ed62a4ed60c8eb086ff91d6103f6d351e?cid=a91ed9edffbc4349b0ae66ad2680900a,1972,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.394,0.177,-14.598,0.0318,0.782,0.000236,0.106,0.228,140.645,1,1,323040,63.0
3,Jackson Browne,spotify:album:0n93YRc9GP3ZgREgTHvP5u,1,1,0n93YRc9GP3ZgREgTHvP5u,Jackson Browne (Saturate Before Using),4,Doctor My Eyes,3QcuZo6WLcFkqqLmDs0d95,https://p.scdn.co/mp3-preview/34393a3e0f434d9936ad1bef4a65c1dbbb4c64fb?cid=a91ed9edffbc4349b0ae66ad2680900a,1972,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.48,0.626,-8.406,0.0294,0.266,5.7e-05,0.0857,0.542,75.63,5,1,199907,63.0
4,Jackson Browne,spotify:album:0n93YRc9GP3ZgREgTHvP5u,1,1,0n93YRc9GP3ZgREgTHvP5u,Jackson Browne (Saturate Before Using),5,From Silver Lake,4Cj5jIgC7gc3zmdYzPJmAd,https://p.scdn.co/mp3-preview/6f91d42448200dc9ad7b2895ea2bd18c1c8c1b8c?cid=a91ed9edffbc4349b0ae66ad2680900a,1972,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.504,0.412,-9.567,0.0299,0.636,5.66e-06,0.0899,0.311,75.168,2,1,232440,63.0
5,Jackson Browne,spotify:album:0n93YRc9GP3ZgREgTHvP5u,1,1,0n93YRc9GP3ZgREgTHvP5u,Jackson Browne (Saturate Before Using),6,Something Fine,6C20UYVe7GFDXvB4t0AAw2,https://p.scdn.co/mp3-preview/102eacb63f035c3e14c061a5d7704a15317d8b32?cid=a91ed9edffbc4349b0ae66ad2680900a,1972,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.482,0.158,-14.004,0.0379,0.892,0.0,0.128,0.268,126.252,6,1,228560,63.0
6,Jackson Browne,spotify:album:0n93YRc9GP3ZgREgTHvP5u,1,1,0n93YRc9GP3ZgREgTHvP5u,Jackson Browne (Saturate Before Using),7,Under the Falling Sky,0cF09PKK8obAf7hAUZXD8W,https://p.scdn.co/mp3-preview/f091d13c7ba4479c9a564385e3b7c952b6dfd618?cid=a91ed9edffbc4349b0ae66ad2680900a,1972,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.527,0.568,-10.866,0.0407,0.783,0.000743,0.243,0.424,79.691,9,1,249933,63.0
7,Jackson Browne,spotify:album:0n93YRc9GP3ZgREgTHvP5u,1,1,0n93YRc9GP3ZgREgTHvP5u,Jackson Browne (Saturate Before Using),8,Looking into You,0aCMDfCMxLqo9l8FoEEiP0,https://p.scdn.co/mp3-preview/548e282aaab108787c89c12520a25d0feed76860?cid=a91ed9edffbc4349b0ae66ad2680900a,1972,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.462,0.311,-10.465,0.0316,0.834,8.78e-05,0.122,0.323,129.842,2,1,259200,63.0
8,Jackson Browne,spotify:album:0n93YRc9GP3ZgREgTHvP5u,1,1,0n93YRc9GP3ZgREgTHvP5u,Jackson Browne (Saturate Before Using),9,Rock Me on the Water,5iGBFRhXqD0cbYaA25UE93,https://p.scdn.co/mp3-preview/f7cd7b6d03062a4510f85d65ad71976997934ab0?cid=a91ed9edffbc4349b0ae66ad2680900a,1972,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.452,0.494,-10.194,0.0279,0.803,1.1e-05,0.187,0.486,99.914,7,1,252040,63.0
9,Jackson Browne,spotify:album:0n93YRc9GP3ZgREgTHvP5u,1,1,0n93YRc9GP3ZgREgTHvP5u,Jackson Browne (Saturate Before Using),10,My Opening Farewell,5hqN2X3TE5cUSWsabr8ja1,https://p.scdn.co/mp3-preview/15b915d1392e0c97a34ebd7230a2b58fe15ee282?cid=a91ed9edffbc4349b0ae66ad2680900a,1972,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.5,0.236,-12.615,0.0329,0.859,0.0092,0.258,0.202,138.233,2,1,284827,63.0
