,playlistURI,participant,rating,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
0,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Appreciation,70w16KjhO0HQz6eqllKYJo,https://p.scdn.co/mp3-preview/3adcefd34504484dd22f834a93ad235f0b7d5c59?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-12-03,[unknown],0.206,0.0132,-30.649,0.0406,0.99,0.974,0.108,0.0872,74.014,7,1,169000,72.0
1,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Turndown Service,56y8h73SZXnIzR0fGSQlca,https://p.scdn.co/mp3-preview/554e64aa24802b4369353be80554e5b3c17a0d92?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-04,[unknown],0.164,0.0188,-34.105,0.0341,0.946,0.893,0.081,0.0593,71.96,10,1,115800,69.0
2,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Tirana Wolves,6RsZg0rFSlLWqy5AKiny95,https://p.scdn.co/mp3-preview/da86a7ec42d5a74cd20c810236338ac583290b2c?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-10-12,[unknown],0.145,0.00504,-31.338,0.0472,0.952,0.977,0.109,0.0373,138.263,5,1,206426,64.0
3,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Sueno,6ZUPb0L9JcZM1e7c1nGCIx,https://p.scdn.co/mp3-preview/09245e7970bb6b93fa11fb35c727c9782a9df0e9?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-08,['atmosphere'],0.174,0.023,-34.037,0.0384,0.961,0.902,0.14,0.07,66.427,0,1,163053,68.0
4,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Origami,4ScsYR6E4wg3gFFMd8LEJG,https://p.scdn.co/mp3-preview/5c8a0b472abf220c16144f53b9b7bf6ff954e96f?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-08,['background music'],0.185,0.0165,-32.971,0.045,0.992,0.968,0.158,0.0459,71.305,1,0,142364,65.0
5,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,No Matter What,6nKvfKAVpGlyzXcKcVXwk3,https://p.scdn.co/mp3-preview/e330e3d6359c8ec57b88d6fc2ece72f0a3100eaf?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-08-28,[unknown],0.0623,0.0403,-29.219,0.0527,0.974,0.962,0.0909,0.0359,62.484,9,1,194625,64.0
6,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Portraits,3Vr1DtJ30TMsFZBs9WJIvM,https://p.scdn.co/mp3-preview/f4ae09b9195dbe7e3c3c609e98954be0f4a7a98f?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-11-05,[unknown],0.195,0.0669,-27.78,0.0416,0.971,0.91,0.0986,0.063,70.65,8,0,193714,65.0
7,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Reoite,6DCLjXH0ak1YerLNW2hwcI,https://p.scdn.co/mp3-preview/949c9ab439be6664ad92325ac481f2f37a253f71?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-10-15,[unknown],0.0896,0.0183,-33.507,0.0466,0.957,0.86,0.074,0.0369,85.095,9,1,142638,64.0
8,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Monrovia,7JYgex93ldydsVqr6Um2nD,https://p.scdn.co/mp3-preview/21bc357aa47e968ccb5da4ede2a7c19c1d55c4b7?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-10-19,[unknown],0.0661,0.0186,-32.479,0.0445,0.974,0.933,0.0969,0.0407,70.273,1,0,210000,65.0
9,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Clear Conscience,19rahpLlANnHrR9kXyYDOP,https://p.scdn.co/mp3-preview/c2d8fe45ac7c090c84992117892c93724ddb8654?cid=a91ed9edffbc4349b0ae66ad2680900a,2019-12-04,['background music'],0.162,0.00109,-47.452,0.0478,0.972,0.913,0.0851,0.0536,109.255,11,0,192000,64.0
