,playlistID,playlistName,nTracks,type,owner,category
0,3oHKokI6S1vVN7x8ZvttRH,Finnish metal,411,user,wolfheartrealm,Finnish
1,6J5vntCpqrd9v6eYZFTfkZ,Finnish Metal & Rock,311,user,jesseräisänen01,Finnish
2,22YG0ySm0uwkvFr32KlXSS,Finnish Black Metal.,69,user,megzhfje7gdfxpov4j1g99tyy,Finnish
3,6z5pGvYKSjFZ7nMnnLr1rQ,Beast In Black - The Complete Discography,25,user,1tgjihep1h707i6l9vclckzdv,Finnish
4,14CClSv1BEvWt6kCPPc2nW,Battle Beast - The Complete Discography,64,user,battlebeastband,Finnish
5,0VIFRdDKyTqPghiYUu191o,The Sound of Finnish Black Metal,221,user,thesoundsofspotify,Finnish
6,24MlnKdFh9z4sEjXSHZvMD,Folk Metal Big 5,58,user,korpiklaani_official,Finnish
7,64e6NyNA83bb5rwk2TNnJn,Metal Made In Finland,567,user,cqx5kkzy81adohacjt4j7bayi,Finnish
8,5c5jzgkXerrKba1p9FGiRp,Finnish Black Metal,301,user,31jidklnlk2akxqmqym7cetllozu,Finnish
9,2CO3XD0bYwJJmgkXuvf3PC,Finnish Melodic Death Metal,343,user,monia-lisa,Finnish
10,2om7cvrDPE3QmbwlTXDq5v,Finnish metal,323,user,servantofsorrow,Finnish
11,0RFY4dKzvQxsPuUf3Jqb7X,Finnish metal,545,user,jakezi19,Finnish
12,0xVjRaNI0K5XPQArCpS2ss,Finnish Power Metal,89,user,118525299,Finnish
13,55OgmquScJR1cPxbhx4UYp,Finnish Metal,51,user,v37gerqh0kguhgd2n1smm8ox5,Finnish
14,48pwOK0uw9hDpI17CyfYC7,Stratovarius Discography,368,user,titantanic-77,Finnish
15,49pzaw2wZffQYU1AyArglY,BIG•LIST,1054,user,1174841006,Finnish
16,5KxRqh40KQFZj28dM5qF7d,Finnish Death Metal,30,user,z2yyhb2xpumt3dcp4h6up5m9e,Finnish
17,4tswt4gAeGoAQ7pYqCi8YZ,Finnish Heavy Metal,23,user,11162865744,Finnish
18,0M2qFwf1tWk9AcCXJqhXuD,Finnish viking metal and rock (basically),62,user,torican,Finnish
19,1sga5wWpgQZXCItWpBUep7,Finnish Black Metal🇫🇮,405,user,ko7hjw6vu99hlimgw4pdb81sp,Finnish
20,5xogEAb6QRTor1tl1BVykq,Finland 🇫🇮 Finnish Metal,102,user,21ycsph2j7tp5vahnz5ijydxa,Finnish
21,4KrNPpBq2dXFFRBbyfO4zx,Finnish folk metal,25,user,ratiritiralla,Finnish
22,1rgQAmedo2zCbmyvRMGu4n,Finnish mythic metal,38,user,kylath_kilstar,Finnish
23,26RA6GjOgHu3BLCVM3eWJ2,FINNISH METAL,63,user,1269476107,Finnish
24,7xKaS3sBbUygcuBTeRL4MQ,2015 – 2021,972,user,liisi.lauttia-fi,Finnish
25,4n2A6t6xunIpptCusqDNdV,Tungsten,549,user,hgw7d2h6055adj36om428yceg,Finnish
26,1nI1f37ZMiVDXajpQxBd5q,Vxt's Melodic Playlist,61,user,1234267523,Finnish
27,2uJReT4tTgYk3AK1PbOJVD,Rock/heavymetal,200,user,miko.maklin-fi,Finnish
28,26VhBJq8zqqlxOU4QmplJT,💣 Melodic Deathmetal & Blackmetal 💣,88,user,78b68q41qs7bkchhx59zjmjoj,Finnish
29,44I8QnjoPQDXn932YOXnFk,W.A.S.P. — I Wanna Be Somebody,315,user,216hbtkvg32w6bgehmbijocyy,Finnish
30,1w9xOmjcr0VVHHtYyGGIkk,Finnish Death Metal,183,user,21ofqn2tmakcua66kwesz4jai,Finnish
31,3FWrtsAlOFpiDDZ56VVOYK,"This is Kaunis Kuolematon (Melodic Death Metal incl. Dawn Of Solace, Hallatar etc.) | Noble Demon",29,user,n60mmuv4rcbis9zo6iziy0c6d,Finnish
32,3XL3LswHtLyMkh0sYSf9vn,Finnish Death/Doom Metal,126,user,m1hf44ji96zmcsypztn8ywa6v,Finnish
33,1eIbL3iDDtRgbJ1iYtpS1S,Early 00's finnish metal,343,user,thek4in,Finnish
34,2mKiPJ8vhFEssS6fLfToYB,Finnish folk metal,123,user,josemuelasoto,Finnish
35,18oX7hhCoQ3AIQyBmtD6Fn,The Sound of Finnish Metal,317,user,thesoundsofspotify,Finnish
36,7Ky7mnFOobBYJMFnNtLN8O,The Sound of Finnish Death Metal,308,user,thesoundsofspotify,Finnish
37,2qP1BOIxWwGcApaORS2rQs,Finnish Metal,280,user,o4u0wk06md0mq8fad329t91v0,Finnish
38,4zsp3gvtquWTmLAwoYXnJW,finnish black metal,2050,user,tomi.valumaki,Finnish
39,4OyYT0eJy81mEYOza5mgwa,the shuffle beast,1069,user,21b43q2zg3ipujexeqdhmyevi,Finnish
40,3oozrBUmwW1hAof7hcJotE,Finnish Black Metal,593,user,unknown91,Finnish
41,1NkIQcQc7pZVUaqT3JnQq9,Finnish Death Metal,121,user,whomaid,Finnish
42,30g8LXPv68DyDGnsICFmO9,Cruising 2020,387,user,-hd-,Finnish
